Epic ID,Epic Name,Goal,Key Requirement IDs,MVP Scope,Priority,Owner Agent,Status,Notes
EPIC-FOUNDATION,Platform Foundation,"Create the base app shell, stack, environment, routing, design system, and deployment foundation.",TECH-001;TECH-002;TECH-003;TECH-005;ROAD-001;ROAD-002,MVP,Must-have,Architecture Agent,Draft,Build first.
EPIC-ROLE,"Users, Roles & Permissions","Implement user accounts, role hierarchy, project/event permissions, custom roles, and 2FA for sensitive roles.",ROLE-001 to ROLE-009;TECH-004;TECH-010,MVP,Must-have,Security Agent,Draft,Security-critical.
EPIC-PROJ,Wedding Projects & Events,"Implement wedding project hierarchy, events, statuses, project/event codes, and workflow checklist foundation.",PROJ-001 to PROJ-007,MVP,Must-have,Backend Agent,Draft,Depends on foundation and roles.
EPIC-GM,Guest Management & Guest Lists,"Replace spreadsheet guest lists with master database, bride/groom lists, import, duplicates, tags, locks, and change requests.",GM-001 to GM-015,MVP,Must-have,Backend Agent,Draft,Core MVP.
EPIC-RSVP,RSVP & Public Guest Page,"Implement secure guest page, RSVP, language, payment lock, admin preview, and invitation download access.",RSVP-001 to RSVP-014,MVP,Must-have,Frontend Agent,Draft,Depends on guests and tokens.
EPIC-INV,Invitation Template & PDF Generation,"Implement Canva PDF upload, visual editor, dynamic fields, QR, preview, batch generation, regeneration, versioning.",INV-001 to INV-015;TECH-006,MVP,Must-have,PDF/QR Agent,Draft,High complexity.
EPIC-MSG,WhatsApp Communication Workflows,Implement WhatsApp-first manual/API-ready communication workflows and message tracking.,MSG-001 to MSG-010,MVP,Must-have,WhatsApp Agent,Draft,Manual mode first.
EPIC-SEAT,"Tables, Seating & Print Materials","Implement event-specific tables, seating, capacity warnings, visual/list assignment, and Canva CSV exports.",SEAT-001 to SEAT-012,MVP,Must-have,Frontend Agent,Draft,Connects to invitations/check-in.
EPIC-CHK,Check-in & Wedding-Day Operations,"Implement QR/manual check-in, partial arrivals, offline mode, unexpected guests, device assignment, dashboards.",CHK-001 to CHK-014;TECH-007,MVP,Must-have,Check-in Agent,Draft,Critical field operation.
EPIC-PAY,"Contracts, Pricing & Payment Controls","Implement contract approval, packages, pricing, payments, payment gates, addendums, exceptions.",PAY-001 to PAY-015,MVP,Must-have,Backend Agent,Draft,Business-critical.
EPIC-WISH,Guest Wishes & Guest Book,"Implement wishes on public page, moderation, couple approval, Canva CSV export, guest-book file tracking.",WISH-001 to WISH-008,MVP,Should-have,Frontend Agent,Draft,Can be after core invite/check-in.
EPIC-PART,Partner / External Provider Model,"Implement partner accounts, partner-created projects, approval flow, restrictions, partner dashboard.",PART-001 to PART-007,MVP,Should-have,Backend Agent,Draft,Can be late MVP.
EPIC-REP,"Dashboards, Reports & Audit Logs","Implement dashboards, report exports, audit logs, role-based visibility.",REP-001 to REP-007,MVP,Must-have,Backend Agent,Draft,Audit foundation early.
EPIC-FILE,"Files, Storage, Retention & Security","Implement app-owned storage, file library, secure downloads, version history, retention, upload validation.",FILE-001 to FILE-009,MVP,Must-have,Files Agent,Draft,Foundation for PDFs.
EPIC-AI,AI Assistance,"Implement permission-aware AI suggestions for cleanup, duplicates, messages, summaries, risks, seating, guest book.",AI-001 to AI-006,Post-MVP,Should-have,AI Agent,Deferred,After stable core.
EPIC-INT,Integrations,"Implement Google Calendar, WhatsApp API abstraction, Canva roadmap, future integrations.",TECH-008;TECH-009;MSG-001;MSG-010,Post-MVP,Should-have,Architecture Agent,Deferred,API-ready in MVP.
EPIC-RELEASE,"Release, Monitoring & Documentation","Implement monitoring, backups, release readiness, documentation, rollback, known limitations.",ROAD-001 to ROAD-003;Governance,MVP,Must-have,Release Manager Agent,Draft,Continuous.