Feature ID,Epic ID,Feature Name,Description,Linked Requirement IDs,MVP Scope,Priority,Complexity,Owner Agent,Dependencies,Status,Notes
FEAT-FOUND-001,EPIC-FOUNDATION,App shell and routing,"Create base responsive app shell, routing, layout, environment setup.",TECH-001;TECH-002,MVP,Must-have,Medium,Frontend Agent,,Draft,
FEAT-FOUND-002,EPIC-FOUNDATION,Database foundation,Set up PostgreSQL schema management and migrations.,TECH-003,MVP,Must-have,High,Architecture Agent,FEAT-FOUND-001,Draft,
FEAT-FOUND-003,EPIC-FOUNDATION,Background job foundation,"Set up job/queue pattern for PDFs, messages, exports, reminders.",TECH-005,MVP,Must-have,High,Architecture Agent,FEAT-FOUND-002,Draft,
FEAT-ROLE-001,EPIC-ROLE,Authentication and accounts,"Implement account login, password, activation, session management.",ROLE-001;ROLE-006,MVP,Must-have,High,Backend Agent,FEAT-FOUND-001,Draft,
FEAT-ROLE-002,EPIC-ROLE,Role and permission engine,"Implement global, project, event, and custom role permissions.",ROLE-001;ROLE-002;ROLE-003;TECH-004,MVP,Must-have,High,Security Agent,FEAT-ROLE-001,Draft,
FEAT-ROLE-003,EPIC-ROLE,Sensitive-role 2FA,"Require 2FA for admin, finance, contract, supervisor, permission roles.",ROLE-007,MVP,Must-have,High,Security Agent,FEAT-ROLE-001,Draft,
FEAT-PROJ-001,EPIC-PROJ,Project and event model,"Create wedding projects, events, project hierarchy, statuses.",PROJ-001;PROJ-002,MVP,Must-have,High,Backend Agent,FEAT-ROLE-002,Draft,
FEAT-PROJ-002,EPIC-PROJ,Project and event codes,Auto-generate project and event codes with admin edit for events.,PROJ-003;PROJ-004,MVP,Must-have,Medium,Backend Agent,FEAT-PROJ-001,Draft,
FEAT-PROJ-003,EPIC-PROJ,Workflow checklist foundation,Generate checklist tasks from project/event setup.,PROJ-007,MVP,Must-have,High,Backend Agent,FEAT-PROJ-001,Draft,
FEAT-GM-001,EPIC-GM,Master guest database,Implement project-level guest database and event guest assignments.,GM-001;PROJ-005,MVP,Must-have,High,Backend Agent,FEAT-PROJ-001,Draft,
FEAT-GM-002,EPIC-GM,Bride/groom guest lists,Implement separate working lists backed by master database.,GM-002;ROLE-005,MVP,Must-have,High,Frontend Agent,FEAT-GM-001,Draft,
FEAT-GM-003,EPIC-GM,Guest manual entry,Allow permitted users to manually add/edit guests.,GM-003;GM-006,MVP,Must-have,Medium,Frontend Agent,FEAT-GM-002,Draft,
FEAT-GM-004,EPIC-GM,CSV/Excel import and approval,"Import guests, map columns, validate, and require admin approval.",GM-004;GM-005,MVP,Must-have,High,Data Agent,FEAT-GM-001,Draft,
FEAT-GM-005,EPIC-GM,Duplicate and both-side handling,Detect duplicates and support one guest belonging to both sides.,GM-008;GM-009,MVP,Must-have,High,AI Agent,FEAT-GM-001,Draft,AI part can be rule-based first.
FEAT-GM-006,EPIC-GM,Guest locks and change requests,Lock lists by stage and route post-lock edits through requests.,GM-013;GM-014,MVP,Must-have,High,Backend Agent,FEAT-GM-003,Draft,
FEAT-RSVP-001,EPIC-RSVP,Secure public guest page,Create token-based guest page with payment gate and admin preview.,RSVP-001;RSVP-002;RSVP-003;TECH-010,MVP,Must-have,High,Frontend Agent,FEAT-GM-001;FEAT-PAY-004,Draft,
FEAT-RSVP-002,EPIC-RSVP,RSVP engine,Implement event-specific Yes/No/Maybe RSVP and edit rules.,RSVP-006;RSVP-007;RSVP-009;RSVP-010,MVP,Must-have,High,Backend Agent,FEAT-RSVP-001,Draft,
FEAT-RSVP-003,EPIC-RSVP,RSVP deadlines and review,"Implement event deadlines, Maybe reminders, and post-deadline review lists.",RSVP-008;RSVP-011;RSVP-012,MVP,Must-have,Medium,Frontend Agent,FEAT-RSVP-002,Draft,
FEAT-INV-001,EPIC-INV,Template upload,Upload and manage Canva-exported PDF templates at event level.,INV-001;INV-002;INV-003;FILE-001,MVP,Must-have,Medium,Files Agent,FEAT-FILE-001;FEAT-PROJ-001,Draft,
FEAT-INV-002,EPIC-INV,Visual template editor,Drag-and-drop dynamic fields onto PDF pages.,INV-004;INV-005,MVP,Must-have,High,Frontend Agent,FEAT-INV-001,Draft,
FEAT-INV-003,EPIC-INV,PDF and QR generation,Generate personalized PDFs with smart text fitting and secure QR tokens.,INV-006;INV-007;INV-008;TECH-006,MVP,Must-have,High,PDF/QR Agent,FEAT-INV-002,Draft,
FEAT-INV-004,EPIC-INV,Preview and batch generation,Require preview approval and support batch generation/regeneration/versioning.,INV-009;INV-011;INV-012;INV-013;INV-014;INV-015,MVP,Must-have,High,PDF/QR Agent,FEAT-INV-003,Draft,
FEAT-MSG-001,EPIC-MSG,Message templates,Create approved French/English message templates with variables.,MSG-002;MSG-003,MVP,Must-have,Medium,WhatsApp Agent,FEAT-GM-001,Draft,
FEAT-MSG-002,EPIC-MSG,Guided manual WhatsApp mode,"Prepare messages, open WhatsApp, track sent/skipped/failed.",MSG-001;MSG-008;MSG-009;MSG-010,MVP,Must-have,High,WhatsApp Agent,FEAT-MSG-001,Draft,
FEAT-MSG-003,EPIC-MSG,Invitation and reminder workflows,"Implement invitation sending gate, reminders, Maybe followups, modifications, resends.",MSG-004;MSG-005;MSG-006,MVP,Must-have,High,WhatsApp Agent,FEAT-MSG-002;FEAT-PAY-004,Draft,
FEAT-SEAT-001,EPIC-SEAT,Tables and capacity,"Create event tables, capacities, and occupancy warnings.",SEAT-001;SEAT-003;SEAT-005,MVP,Must-have,High,Backend Agent,FEAT-PROJ-001;FEAT-GM-001,Draft,
FEAT-SEAT-002,EPIC-SEAT,Table assignment UI,Assign guests to tables via list view and eventually visual map.,SEAT-006;SEAT-007;SEAT-009,MVP,Must-have,High,Frontend Agent,FEAT-SEAT-001,Draft,
FEAT-SEAT-003,EPIC-SEAT,Print material exports,Generate table-card and seating CSV exports for Canva/ushers.,SEAT-011;SEAT-012,MVP,Should-have,Medium,Data Agent,FEAT-SEAT-002,Draft,
FEAT-CHK-001,EPIC-CHK,Check-in access and screen,Create login-gated mobile check-in mode for assigned staff.,CHK-001;CHK-004,MVP,Must-have,High,Check-in Agent,FEAT-ROLE-002;FEAT-PROJ-001,Draft,
FEAT-CHK-002,EPIC-CHK,QR and manual check-in,"Support QR, invitation ID, name, phone, table, and side search.",CHK-002;CHK-003;CHK-012,MVP,Must-have,High,Check-in Agent,FEAT-CHK-001;FEAT-INV-003,Draft,
FEAT-CHK-003,EPIC-CHK,Arrival rules,"Implement Couple partial arrivals, household member check-in, welcome logic.",CHK-005;CHK-006;CHK-007,MVP,Must-have,High,Check-in Agent,FEAT-CHK-002,Draft,
FEAT-CHK-004,EPIC-CHK,Unexpected guests and dashboard,"Implement supervisor approvals, VIP highlights, device/station tracking, arrivals dashboard.",CHK-008;CHK-009;CHK-010;CHK-013;CHK-014,MVP,Must-have,High,Check-in Agent,FEAT-CHK-003,Draft,
FEAT-CHK-005,EPIC-CHK,Offline check-in,"Implement preloaded offline guest list, IndexedDB storage, sync, and conflict review.",CHK-011;TECH-007,MVP,Must-have,High,Check-in Agent,FEAT-CHK-002,Draft,
FEAT-PAY-001,EPIC-PAY,Packages and pricing,"Implement USD all-inclusive packages, event add-ons, planned guest count pricing.",PAY-006;PAY-007;PAY-008;PAY-009,MVP,Must-have,High,Backend Agent,FEAT-PROJ-001,Draft,
FEAT-PAY-002,EPIC-PAY,Contract approval,"Generate project contract and in-app approval with checkbox, groom preferred.",PAY-001;PAY-002;PAY-003,MVP,Must-have,High,Backend Agent,FEAT-PAY-001,Draft,
FEAT-PAY-003,EPIC-PAY,Addendums and guest-count changes,"Handle guest increases, decreases, addendums, gestures.",PAY-005;PAY-010;PAY-011;PAY-012,MVP,Should-have,High,Backend Agent,FEAT-PAY-002,Draft,
FEAT-PAY-004,EPIC-PAY,Manual payments and gates,"Record payments, enforce payment gate, approve exceptions.",PAY-013;PAY-014;PAY-015,MVP,Must-have,High,Backend Agent,FEAT-PAY-002,Draft,
FEAT-WISH-001,EPIC-WISH,Wish submission and moderation,"Collect one text wish per guest, allow moderation and original/edited versions.",WISH-001;WISH-002;WISH-003;WISH-004;WISH-005,MVP,Should-have,Medium,Frontend Agent,FEAT-RSVP-001,Draft,
FEAT-WISH-002,EPIC-WISH,Couple review and Canva export,Allow couple review and export approved wishes to Canva CSV.,WISH-006;WISH-007;WISH-008,MVP,Should-have,Medium,Data Agent,FEAT-WISH-001,Draft,
FEAT-FILE-001,EPIC-FILE,App-owned file storage,"Implement project file library, categories, upload validation, secure storage.",FILE-001;FILE-002;FILE-009,MVP,Must-have,High,Files Agent,FEAT-FOUND-002,Draft,
FEAT-FILE-002,EPIC-FILE,Secure downloads and versions,"Implement guest file access, signed URLs, version history, retention.",FILE-004;FILE-005;FILE-006;FILE-007;FILE-008,MVP,Must-have,High,Files Agent,FEAT-FILE-001,Draft,
FEAT-REP-001,EPIC-REP,Dashboards,"Create global, project, event, couple, partner, and operations dashboards.",REP-001;REP-002;REP-003;REP-004,MVP,Must-have,High,Frontend Agent,Multiple modules,Draft,Build incrementally.
FEAT-REP-002,EPIC-REP,Reports and audit logs,Implement export framework and read-only audit logs with restricted visibility.,REP-005;REP-006;REP-007,MVP,Must-have,High,Backend Agent,Multiple modules,Draft,Audit foundation should start early.
FEAT-PART-001,EPIC-PART,Partner accounts and project creation,"Create partner accounts, partner-created draft projects, approval flow.",PART-001;PART-002;PART-003;PART-004,MVP,Should-have,High,Backend Agent,FEAT-ROLE-002;FEAT-PROJ-001,Draft,
FEAT-PART-002,EPIC-PART,Partner restrictions and dashboard,Restrict revenue/payment access and provide limited partner dashboard/comment thread.,PART-005;PART-006;PART-007,MVP,Should-have,Medium,Frontend Agent,FEAT-PART-001,Draft,
FEAT-REL-001,EPIC-RELEASE,MVP end-to-end QA pass,"Define and record MVP manual QA scenarios, evidence rules, and sign-off gates.",ROAD-001;ROAD-002;TECH-002,MVP,Must-have,Medium,Release Manager Agent,Multiple modules,Draft,Sprint 15 release hardening.
FEAT-REL-002,EPIC-RELEASE,Role and permission security review,"Review sensitive roles, MFA posture, permission boundaries, and negative authorization scenarios.",ROLE-001;ROLE-007;ROLE-009;TECH-004,MVP,Must-have,High,Security Agent,FEAT-ROLE-001,Draft,Sprint 15 release hardening.
FEAT-REL-003,EPIC-RELEASE,RLS and database security review,"Review Supabase RLS, RPC grants, advisors, and post-apply database verification.",ROLE-009;TECH-003;TECH-004;TECH-010;FILE-009,MVP,Must-have,High,Security Agent,FEAT-FOUND-002,Draft,Sprint 15 release hardening.
FEAT-REL-004,EPIC-RELEASE,Environment and secrets review,"Review environment variables, public env exposure, dependency audit, and secret scanning.",TECH-002;TECH-010,MVP,Must-have,High,Security Agent,FEAT-FOUND-001,Draft,Sprint 15 release hardening.
FEAT-REL-005,EPIC-RELEASE,Deployment readiness checklist,"Document deployment readiness, artifact storage, CI gates, and Supabase promotion checks.",ROAD-001;ROAD-002;TECH-002;TECH-003,MVP,Must-have,Medium,Release Manager Agent,FEAT-REL-004,Draft,Sprint 15 release hardening.
FEAT-REL-006,EPIC-RELEASE,Staging and smoke test plan,"Document staging smoke checks, manual QA storage, monitoring validation, and release evidence capture.",ROAD-001;ROAD-002;TECH-002,MVP,Must-have,Medium,QA Agent,FEAT-REL-001,Draft,Sprint 15 release hardening.
FEAT-REL-007,EPIC-RELEASE,Known limitations register,"Document MVP limitations, launch risks, acceptable risks, and post-launch follow-ups.",ROAD-002;ROAD-003;TECH-006;TECH-007;TECH-009,MVP,Must-have,Medium,Orchestrator Agent,Multiple modules,Draft,Sprint 15 release hardening.
FEAT-REL-008,EPIC-RELEASE,Release notes and launch documentation,"Create MVP release notes, requirements coverage, and launch communication evidence.",ROAD-001;ROAD-002,MVP,Must-have,Medium,Release Manager Agent,FEAT-REL-007,Draft,Sprint 15 release hardening.
FEAT-REL-009,EPIC-RELEASE,Monitoring and rollback plan,"Document post-launch monitoring, incident evidence, rollback authority, and manual fallback rehearsal.",ROAD-001;ROAD-002;TECH-002,MVP,Must-have,High,Release Manager Agent,FEAT-REL-006,Draft,Sprint 15 release hardening.
FEAT-REL-010,EPIC-RELEASE,MVP launch decision checklist,"Define go, conditional-go, and no-go gates with owner sign-off and evidence requirements.",ROAD-001;ROAD-002;ROAD-003,MVP,Must-have,High,Orchestrator Agent,FEAT-REL-001;FEAT-REL-009,Draft,Sprint 15 release hardening.
