Task ID,Story ID,Feature ID,Task Title,Description,Owner Agent,Priority,Status,Dependencies,Deliverable,Review Agent,Tests Required,Notes
TASK-FOUND-001,STORY-FOUND-001,FEAT-FOUND-001,Initialize app repository,"Create base Next.js/React/TypeScript structure, routing, linting, environment files.",Frontend Agent,Must-have,Draft,,Base repository,QA/Test Agent,TEST-FOUND-001,
TASK-FOUND-002,STORY-FOUND-001,FEAT-FOUND-001,Create base design system,"Create layout, navigation shell, responsive breakpoints, light/dark token foundation.",UX/UI Agent,Must-have,Draft,TASK-FOUND-001,Base UI components,QA/Test Agent,TEST-FOUND-001,
TASK-ROLE-001,STORY-ROLE-001,FEAT-ROLE-001,Design auth schema,"Define users, sessions, roles references, account status fields.",Architecture Agent,Must-have,Draft,TASK-FOUND-001,Auth schema draft,Security Agent,TEST-ROLE-001,
TASK-ROLE-002,STORY-ROLE-002,FEAT-ROLE-002,Implement permission middleware,Create backend permission checks for global/project/event roles.,Backend Agent,Must-have,Draft,TASK-ROLE-001,Permission service,Security Agent,TEST-ROLE-002,
TASK-PROJ-001,STORY-PROJ-001,FEAT-PROJ-001,Create project/event tables,Create migrations for wedding_projects and events.,Backend Agent,Must-have,Draft,TASK-ROLE-002,Database migrations,QA/Test Agent,TEST-PROJ-001,
TASK-GM-001,STORY-GM-001,FEAT-GM-001,Create guest data model,"Create guests, guest_event_assignments, households, tags structures.",Backend Agent,Must-have,Draft,TASK-PROJ-001,Guest migrations,QA/Test Agent,TEST-GM-001,
TASK-GM-002,STORY-GM-002,FEAT-GM-002,Build bride/groom list views,Create UI views for own list and partner visible list.,Frontend Agent,Must-have,Draft,TASK-GM-001,Guest list UI,Security Agent,TEST-GM-002;TEST-GM-003,
TASK-GM-003,STORY-GM-004,FEAT-GM-004,Build import parser and mapper,"Support CSV/XLSX parsing, column mapping, validation preview.",Data Agent,Must-have,Draft,TASK-GM-001,Import service,QA/Test Agent,TEST-GM-004,
TASK-RSVP-001,STORY-RSVP-001,FEAT-RSVP-001,Implement guest token model,Create secure token model for public guest pages.,Backend Agent,Must-have,Draft,TASK-GM-001,Token service,Security Agent,TEST-RSVP-001,
TASK-RSVP-002,STORY-RSVP-003,FEAT-RSVP-002,Implement RSVP API,Create event-specific RSVP status API and edit rules.,Backend Agent,Must-have,Draft,TASK-RSVP-001,RSVP API,QA/Test Agent,TEST-RSVP-003;TEST-RSVP-004,
TASK-INV-001,STORY-INV-001,FEAT-INV-001,Implement template upload,Store Canva PDF template and metadata by event.,Files Agent,Must-have,Draft,TASK-FILE-001,Template upload flow,QA/Test Agent,TEST-INV-001,
TASK-INV-002,STORY-INV-002,FEAT-INV-002,Build field placement editor,Create UI for draggable dynamic fields on PDF preview.,Frontend Agent,Must-have,Draft,TASK-INV-001,Template editor,QA/Test Agent,TEST-INV-002,
TASK-INV-003,STORY-INV-003,FEAT-INV-003,Build PDF preview worker,Generate sample PDFs with text fitting and QR.,PDF/QR Agent,Must-have,Draft,TASK-INV-002,Preview worker,QA/Test Agent,TEST-INV-003,
TASK-MSG-001,STORY-MSG-001,FEAT-MSG-001,Create template model,Implement message templates with language and variables.,WhatsApp Agent,Must-have,Draft,TASK-GM-001,Message template service,QA/Test Agent,TEST-MSG-001,
TASK-MSG-002,STORY-MSG-002,FEAT-MSG-002,Build manual WhatsApp sender UI,"Prepare message, open WhatsApp, mark sent/skipped/failed.",Frontend Agent,Must-have,Draft,TASK-MSG-001,Manual sender UI,QA/Test Agent,TEST-MSG-002,
TASK-SEAT-001,STORY-SEAT-001,FEAT-SEAT-001,Create table model,"Create event tables, capacity, status, occupancy calculation.",Backend Agent,Must-have,Draft,TASK-GM-001,Tables API,QA/Test Agent,TEST-SEAT-001,
TASK-CHK-001,STORY-CHK-001,FEAT-CHK-001,Build check-in access guard,Only assigned staff can access event check-in mode.,Check-in Agent,Must-have,Draft,TASK-ROLE-002,Check-in permission guard,Security Agent,TEST-CHK-001,
TASK-CHK-002,STORY-CHK-002,FEAT-CHK-002,Build guest lookup for check-in,Implement QR/manual/name/phone/invitation ID lookup.,Check-in Agent,Must-have,Draft,TASK-CHK-001,Lookup service,QA/Test Agent,TEST-CHK-002,
TASK-PAY-001,STORY-PAY-001,FEAT-PAY-001,Create package/pricing schema,"Create packages, add-ons, event package selections, pricing fields.",Backend Agent,Must-have,Draft,TASK-PROJ-001,Pricing schema/API,Security Agent,TEST-PAY-001,
TASK-PAY-002,STORY-PAY-002,FEAT-PAY-002,Build contract approval flow,"Generate in-app contract view, checkbox, approval record, unlock guest lists.",Frontend Agent,Must-have,Draft,TASK-PAY-001,Contract approval UI/API,QA/Test Agent,TEST-PAY-002,
TASK-FILE-001,STORY-FILE-001,FEAT-FILE-001,Implement storage abstraction,Create file metadata model and storage provider interface.,Files Agent,Must-have,Draft,TASK-FOUND-002,Storage service,Security Agent,TEST-FILE-001,
TASK-REP-001,STORY-REP-001,FEAT-REP-002,Implement audit log service,Create immutable audit log table and helper functions.,Backend Agent,Must-have,Draft,TASK-ROLE-002,Audit service,Security Agent,TEST-REP-001,