Story ID,Feature ID,Epic ID,Title,User Story,Linked Requirement IDs,Priority,MVP Scope,Complexity,Status,Owner Agent,Review Agent,Dependencies,Acceptance Criteria Summary,Data/API/UI Impact,Tests Required,Security Review,Notes
STORY-FOUND-001,FEAT-FOUND-001,EPIC-FOUNDATION,Create responsive app shell,"As a platform user, I want a responsive app shell so that all portals share a consistent structure.",TECH-001;TECH-002,Must-have,MVP,Medium,Draft,Frontend Agent,QA/Test Agent,,"Responsive layout works on phone, tablet, laptop; route structure exists; light/dark support foundation exists.",UI routes and layout,TEST-FOUND-001,No,
STORY-ROLE-001,FEAT-ROLE-001,EPIC-ROLE,User can log in securely,"As an account user, I want to log in securely so that I can access my authorized workspace.",ROLE-001;ROLE-006,Must-have,MVP,High,Draft,Backend Agent,Security Agent,STORY-FOUND-001,Valid users can login; inactive users blocked; sessions managed.,Auth API and login UI,TEST-ROLE-001,Yes,
STORY-ROLE-002,FEAT-ROLE-002,EPIC-ROLE,Admin manages role assignments,"As Diginoces admin, I want to assign users to global, project, and event roles so that access is controlled.",ROLE-001;ROLE-002;ROLE-003;TECH-004,Must-have,MVP,High,Draft,Backend Agent,Security Agent,STORY-ROLE-001,Role permissions enforced by backend; unauthorized users denied.,Roles tables and APIs,TEST-ROLE-002,Yes,
STORY-ROLE-003,FEAT-ROLE-003,EPIC-ROLE,Sensitive users use 2FA,"As Diginoces admin, I want sensitive roles to require 2FA so that critical functions are protected.",ROLE-007,Must-have,MVP,High,Draft,Security Agent,QA/Test Agent,STORY-ROLE-001,Sensitive-role login requires second factor; non-sensitive roles optional.,Auth and account settings,TEST-ROLE-003,Yes,
STORY-PROJ-001,FEAT-PROJ-001,EPIC-PROJ,Admin creates wedding project,"As Diginoces admin, I want to create a wedding project so that I can manage a couple's service.",PROJ-001;PROJ-002,Must-have,MVP,High,Draft,Backend Agent,QA/Test Agent,STORY-ROLE-002,Project created with status; can contain events; permissions applied.,Project API/UI,TEST-PROJ-001,Yes,
STORY-PROJ-002,FEAT-PROJ-001,EPIC-PROJ,Admin creates multiple events,"As Diginoces admin, I want to create multiple events inside a project so that civil, religious, reception, and other celebrations are separated.",PROJ-002,Must-have,MVP,High,Draft,Frontend Agent,QA/Test Agent,STORY-PROJ-001,Project supports more than one event; event data stored separately.,Event API/UI,TEST-PROJ-002,No,
STORY-PROJ-003,FEAT-PROJ-002,EPIC-PROJ,System generates project and event codes,"As staff, I want readable project and event codes so that invitation IDs and reports are easy to identify.",PROJ-003;PROJ-004,Must-have,MVP,Medium,Draft,Backend Agent,QA/Test Agent,STORY-PROJ-001,Project code unique; event code auto-generated and editable by admin.,Code generation logic,TEST-PROJ-003,No,
STORY-GM-001,FEAT-GM-001,EPIC-GM,Create master guest record,"As staff, I want every guest stored once in the master database so that duplicates and event assignments are controlled.",GM-001;PROJ-005,Must-have,MVP,High,Draft,Backend Agent,QA/Test Agent,STORY-PROJ-001,Guest exists once at project level; can be assigned to events.,Guests and assignments tables,TEST-GM-001,Yes,
STORY-GM-002,FEAT-GM-002,EPIC-GM,Bride adds guest to her list,"As a bride, I want to add guests to my bride-side list so that I can prepare my invited guests.",GM-002;GM-003;ROLE-005,Must-have,MVP,High,Draft,Frontend Agent,Security Agent,STORY-GM-001,Bride can add own guest while unlocked; groom views but cannot edit; audit logged.,Guest form/API,TEST-GM-002,Yes,
STORY-GM-003,FEAT-GM-002,EPIC-GM,Groom adds guest to his list,"As a groom, I want to add guests to my groom-side list so that I can prepare my invited guests.",GM-002;GM-003;ROLE-005,Must-have,MVP,High,Draft,Frontend Agent,Security Agent,STORY-GM-001,Groom can add own guest while unlocked; bride views but cannot edit; audit logged.,Guest form/API,TEST-GM-003,Yes,
STORY-GM-004,FEAT-GM-004,EPIC-GM,Bride/groom imports guests,"As bride/groom, I want to import CSV or Excel guests so that I can upload lists quickly.",GM-004;GM-005,Must-have,MVP,High,Draft,Data Agent,QA/Test Agent,STORY-GM-001,Import preview appears; rows validated; submitted rows remain pending approval.,Import UI/API,TEST-GM-004,Yes,
STORY-GM-005,FEAT-GM-004,EPIC-GM,Admin approves imported guests,"As Diginoces admin, I want to approve imported guests before they become active so that bad data is controlled.",GM-005,Must-have,MVP,High,Draft,Backend Agent,QA/Test Agent,STORY-GM-004,Admin can approve/reject/partially approve import; audit logged.,Import review UI/API,TEST-GM-005,Yes,
STORY-GM-006,FEAT-GM-006,EPIC-GM,Couple submits change request after lock,"As bride/groom, I want to submit structured guest change requests after lock so that updates remain controlled.",GM-013;GM-014,Must-have,MVP,High,Draft,Backend Agent,QA/Test Agent,STORY-GM-002,After lock direct edit blocked; change request created and tracked.,Change request API/UI,TEST-GM-006,Yes,
STORY-RSVP-001,FEAT-RSVP-001,EPIC-RSVP,Guest opens secure public page,"As a guest, I want to open my public page without an account so that I can see my invitation information.",RSVP-001;ROLE-009,Must-have,MVP,High,Draft,Frontend Agent,Security Agent,STORY-GM-001,Only valid token opens own page; invalid token denied; no other guests visible.,Public route/token API,TEST-RSVP-001,Yes,
STORY-RSVP-002,FEAT-RSVP-001,EPIC-RSVP,Guest page locked before payment,"As Diginoces admin, I want guest pages locked until payment is complete so that guest-facing access follows business rules.",RSVP-002;PAY-014,Must-have,MVP,High,Draft,Backend Agent,Security Agent,STORY-RSVP-001,Guest cannot access locked page; admin preview allowed; exception override unlocks.,Access gate logic,TEST-RSVP-002,Yes,
STORY-RSVP-003,FEAT-RSVP-002,EPIC-RSVP,Guest submits RSVP per event,"As a guest, I want to answer Yes, No, or Maybe for each event I am invited to.",RSVP-006;RSVP-007,Must-have,MVP,High,Draft,Backend Agent,QA/Test Agent,STORY-RSVP-001,One flow shows invited events; RSVP saved per event.,RSVP API/UI,TEST-RSVP-003,No,
STORY-RSVP-004,FEAT-RSVP-002,EPIC-RSVP,RSVP No excludes guest from operations,"As staff, I want No RSVP guests excluded from expected attendance, seating, reminders, and check-in so that operations are accurate.",RSVP-010,Must-have,MVP,High,Draft,Backend Agent,QA/Test Agent,STORY-RSVP-003,No removes guest from active lists but remains in history.,Business logic,TEST-RSVP-004,Yes,
STORY-INV-001,FEAT-INV-001,EPIC-INV,Staff uploads Canva PDF template,"As Diginoces staff, I want to upload a Canva PDF template for an event so that it can be personalized.",INV-001;INV-002;INV-003,Must-have,MVP,Medium,Draft,Files Agent,QA/Test Agent,STORY-PROJ-002,PDF stored; linked to event; status uploaded.,File upload/API/UI,TEST-INV-001,Yes,
STORY-INV-002,FEAT-INV-002,EPIC-INV,Staff places dynamic fields visually,"As Diginoces staff, I want to drag fields onto the template so that guest data appears correctly.",INV-004;INV-005,Must-have,MVP,High,Draft,Frontend Agent,QA/Test Agent,STORY-INV-001,"Fields saved with page, position, size, type.",Template editor UI/API,TEST-INV-002,No,
STORY-INV-003,FEAT-INV-003,EPIC-INV,Generate preview samples,"As Diginoces admin, I want preview samples before mass generation so that layout and QR can be approved.",INV-009,Must-have,MVP,High,Draft,PDF/QR Agent,QA/Test Agent,STORY-INV-002,Preview generated for sample names; full generation blocked until approval.,PDF worker/API,TEST-INV-003,Yes,
STORY-INV-004,FEAT-INV-004,EPIC-INV,Generate invitations by event,"As Diginoces staff, I want to generate invitations by event so that production is controlled.",INV-011;INV-012;INV-013,Must-have,MVP,High,Draft,PDF/QR Agent,QA/Test Agent,STORY-INV-003,Only ready guests generated; statuses updated; errors listed.,Batch generation job,TEST-INV-004,Yes,
STORY-MSG-001,FEAT-MSG-001,EPIC-MSG,Admin manages message templates,"As Diginoces admin, I want approved French/English templates so that messages are consistent.",MSG-002;MSG-003,Must-have,MVP,Medium,Draft,WhatsApp Agent,QA/Test Agent,STORY-ROLE-002,Templates store variables and language variants.,Template API/UI,TEST-MSG-001,No,
STORY-MSG-002,FEAT-MSG-002,EPIC-MSG,Staff uses guided manual WhatsApp sending,"As Diginoces staff, I want prepared WhatsApp messages so that I can send and track invitations manually.",MSG-001;MSG-008;MSG-009,Must-have,MVP,High,Draft,WhatsApp Agent,QA/Test Agent,STORY-MSG-001,Prepared message opens; staff marks status; action logged.,Message queue/UI,TEST-MSG-002,Yes,
STORY-SEAT-001,FEAT-SEAT-001,EPIC-SEAT,Staff creates event tables,"As staff, I want to create tables for an event so that guests can be seated.",SEAT-001;SEAT-003,Must-have,MVP,High,Draft,Backend Agent,QA/Test Agent,STORY-PROJ-002,Tables tied to event; capacity stored.,Tables API/UI,TEST-SEAT-001,No,
STORY-SEAT-002,FEAT-SEAT-002,EPIC-SEAT,Assign guests to tables,"As bride/groom or staff, I want to assign guests to tables so that seating is planned.",SEAT-006;SEAT-007,Must-have,MVP,High,Draft,Frontend Agent,QA/Test Agent,STORY-SEAT-001;STORY-GM-001,Assignments respect permissions and show unassigned guests.,Seating UI/API,TEST-SEAT-002,Yes,
STORY-CHK-001,FEAT-CHK-001,EPIC-CHK,Assigned staff opens check-in mode,"As check-in staff, I want to access check-in mode only for assigned events.",CHK-001;CHK-004,Must-have,MVP,High,Draft,Check-in Agent,Security Agent,STORY-ROLE-002;STORY-PROJ-002,Assigned staff allowed; unassigned staff denied.,Check-in UI/API,TEST-CHK-001,Yes,
STORY-CHK-002,FEAT-CHK-002,EPIC-CHK,Check in guest by QR or manual search,"As check-in staff, I want QR and manual search so that I can welcome guests quickly.",CHK-002;CHK-003,Must-have,MVP,High,Draft,Check-in Agent,QA/Test Agent,STORY-CHK-001,QR and manual search identify event guest; check-in logged.,Check-in APIs,TEST-CHK-002,Yes,
STORY-CHK-003,FEAT-CHK-003,EPIC-CHK,Record Couple partial arrival,"As check-in staff, I want to mark 1/2 or 2/2 arrivals for Couple invitations.",CHK-005;CHK-006,Must-have,MVP,High,Draft,Check-in Agent,QA/Test Agent,STORY-CHK-002,1/2 and 2/2 statuses work; second arrival does not trigger duplicate welcome.,Arrival logic,TEST-CHK-003,Yes,
STORY-PAY-001,FEAT-PAY-001,EPIC-PAY,Admin creates packages and add-ons,"As Diginoces admin, I want to manage service packages and add-ons so that pricing is controlled.",PAY-006;PAY-007;PAY-008,Must-have,MVP,High,Draft,Backend Agent,Security Agent,STORY-ROLE-002,Only admin can manage packages; USD all-inclusive.,Pricing API/UI,TEST-PAY-001,Yes,
STORY-PAY-002,FEAT-PAY-002,EPIC-PAY,Groom approves contract in app,"As the groom, I want to approve the contract with a checkbox so that the guest-list workspace opens.",PAY-001;PAY-002;PAY-003,Must-have,MVP,High,Draft,Frontend Agent,QA/Test Agent,STORY-PAY-001,Contract visible; checkbox required; approval logged; guest list unlocks.,Contract API/UI,TEST-PAY-002,Yes,
STORY-PAY-003,FEAT-PAY-004,EPIC-PAY,Admin records payment and unlocks sending,"As Diginoces admin, I want to record full payment so that invitation sending and guest pages unlock.",PAY-013;PAY-014,Must-have,MVP,High,Draft,Backend Agent,Security Agent,STORY-PAY-002,Full payment unlocks guest pages and sending; partial does not.,Payment API/UI,TEST-PAY-003,Yes,
STORY-FILE-001,FEAT-FILE-001,EPIC-FILE,Store files in project library,"As staff, I want a project file library so that contracts, templates, invitations, and reports are organized.",FILE-001;FILE-002,Must-have,MVP,High,Draft,Files Agent,QA/Test Agent,STORY-PROJ-001,Files categorized and scoped to project.,Storage/API/UI,TEST-FILE-001,Yes,
STORY-REP-001,FEAT-REP-002,EPIC-REP,Create audit log for sensitive actions,"As Diginoces admin, I want sensitive actions logged so that the system remains traceable.",REP-006;REP-007,Must-have,MVP,High,Draft,Backend Agent,Security Agent,STORY-ROLE-002,Audit logs created and read-only; visible only to authorized internal roles.,Audit service,TEST-REP-001,Yes,