Priority,Complexity,Status,MVP Scope,Test Required,Owner Agent
Must-have,Low,Not started,MVP,Yes,Orchestrator Agent
Should-have,Medium,In progress,Post-MVP,No,Product Analyst Agent
Could-have,High,Built,Future,,Backlog Agent
,,Tested,Deferred,,Architecture Agent
,,Accepted,,,UX/UI Agent
,,Deferred,,,Backend Agent
,,Blocked,,,Frontend Agent
,,,,,PDF/QR Agent
,,,,,WhatsApp Agent
,,,,,Check-in Agent
,,,,,QA/Test Agent
,,,,,Security Agent
,,,,,Data Agent
,,,,,Files Agent
,,,,,AI Agent
,,,,,Documentation Agent
,,,,,Release Manager Agent